Rank,Building,City,Country,Meters,Feet,Floors,Built
1,Burj Khalifa,Dubai,UAE,828 m,2717,163,2010
2,Shanghai Tower,Shanghai,China,632 m,2073,121,2014
3,Makkah Royal Clock Tower Hotel,Mecca,Saudi Arabia,601 m,1971,120,2012
4,One World Trade Center,New York City,USA,541.3 m,1776,104,2013
5,Taipei 101,Taipei,Taiwan,509 m,1670,101,2004
6,Shanghai World Financial Center,Shanghai,China,492 m,1614,101,2008
7,International Commerce Centre,Hong Kong,Hong Kong,484 m,1588,118,2010
8,Petronas Tower 1,Kuala Lumpur,Malaysia,452 m,1483,88,1998
8,Petronas Tower 2,Kuala Lumpur,Malaysia,452 m,1483,88,1998
10,Zifeng Tower,Nanjing, China,450 m,1476,89,2010
11,Willis Tower (Formerly Sears Tower),Chicago, USA,442 m ,1450,108,1973
12,Kingkey 100,Shenzhen, China,442 m,1449,100,2011
13,Guangzhou International Finance Center,Guangzhou, China,440 m,1440,103,2010
14,Dream Dubai Marina,Dubai, UAE,432 m,1417,101,2014
15,Trump International Hotel and Tower,Chicago, USA,423 m,1389,98,2009
16,Jin Mao Tower,Shanghai, China,421 m,1380,88,1999
17,Princess Tower,Dubai, UAE,414 m,"1,358 ft",101,2012
18,Al Hamra Firdous Tower,Kuwait City, Kuwait,413 m,"1,354 ft",77,2011
19,2 International Finance Centre,Hong Kong, Hong Kong,412 m,"1,352 ft",88,2003
20,23 Marina,Dubai, UAE,395 m,"1,296 ft",89,2012
21,CITIC Plaza,Guangzhou, China,391 m,"1,283 ft",80,1997
22,Shun Hing Square,Shenzhen, China,384 m,"1,260 ft",69,1996
23,Central Market Project,Abu Dhabi, UAE,381 m,"1,251 ft",88,2012
24,Empire State Building,New York City, USA,381 m,"1,250 ft",102,1931
25,Elite Residence,Dubai, UAE,380.5 m,"1,247 ft",87,2012
26,Tuntex Sky Tower,Kaohsiung, Taiwan,378 m,"1,240 ft",85,1997
27,Central Plaza,Hong Kong, Hong Kong,374 m,"1,227 ft",78,1992
28,Bank of China Tower,Hong Kong, Hong Kong,367 m,"1,205 ft",70,1990
29,Bank of America Tower,New York City, USA,366 m,"1,200 ft",54,2009
30,Almas Tower,Dubai, UAE,363 m,"1,191 ft",68,2009
31,The Pinnacle,Guangzhou, China,360 m,"1,181 ft",60,2012
32,SEG Plaza,Shenzhen, China,356 m,"1,168 ft",70,2000
33,JW Marriott Marquis Dubai Tower 1,Dubai, UAE,355 m,"1,166 ft",82,2012
33,JW Marriott Marquis Dubai Tower 2,Dubai, UAE,355 m,"1,166 ft",82,2013
35,Emirates Office Tower,Dubai, UAE,355 m,"1,163 ft",54,2000
36,Aon Center,Chicago, USA,346 m,"1,136 ft",83,1973
37,The Center,Hong Kong, Hong Kong,346 m,"1,135 ft",73,1998
38,Keangnam Hanoi Landmark Tower,Hanoi, Vietnam,345 m,"1,132 ft",72,2011
39,John Hancock Center,Chicago, USA,344 m,"1,128 ft",100,1969
40,Ahmed Abdul Rahim Al Attar Tower,Dubai, UAE,342 m,"1,122 ft",76,2010
41,Mercury City Tower,Moscow, Russia,339 m,"1,112 ft",75,2012
41,Hefei Feicui TV Tower,Hefei, China,339 m,"1,112 ft",75,2012
43,Tianjin World Financial Center,Tianjin, China,337 m,"1,105 ft",79,2010
43,The Marina Torch,Dubai, UAE,337 m,"1,105 ft",79,2011
45,Shimao International Plaza,Shanghai, China,333 m,"1,094 ft",61,2005
46,Rose Tower,Dubai, UAE,333 m,"1,093 ft",72,2007
47,Modern Media Center,Changzhou, China,332 m,"1,089 ft",57,2012
48,Minsheng Bank Building,Wuhan, China,331 m,"1,087 ft",68,2007
49,China World Trade Center Tower 3,Beijing, China,330 m,"1,083 ft",74,2009
49,Ryugyong Hotel,Pyongyang, North Korea,330 m,"1,083 ft",105,1992
51,The Index,Dubai, UAE,328 m,"1,076 ft",80,2010
51,Al Yaqoub Tower,Dubai, UAE,328 m,"1,076 ft",69,2013
51,Longxi International Hotel,Huaxi Village, China,328 m,"1,076 ft",72,2011
54,The Landmark,Abu Dhabi, UAE,324 m,"1,072 ft",72,2012
54,Deji Plaza Phase 2,Nanjing, China,324 m,"1,072 ft",62,2013
56,Q1,Gold Coast, Australia,323 m,"1,058 ft",80,2005
57,Wenzhou World Trade Center,Wenzhou, China,322 m,"1,056 ft",68,2010
58,Burj Al Arab,Dubai, UAE,321 m,"1,053 ft",60,1999
59,Nina Tower,Hong Kong, Hong Kong,319 m,"1,049 ft",80,2007
60,Chrysler Building,New York City, USA,319 m,"1,047 ft",77,1930
61,New York Times Building,New York City, USA,319 m,"1,046 ft",52,2007
62,HHHR Tower,Dubai, UAE,317 m,"1,042 ft",72,2010
63,Bank of America Plaza,Atlanta, USA,317 m,"1,040 ft",55,1992
64,Moi Center,Shenyang, China,311 m,"1,020 ft",75,2012
65,U.S. Bank Tower,Los Angeles, USA,310 m,"1,018 ft",73,1989
66,Menara Telekom,Kuala Lumpur, Malaysia,310 m,"1,017 ft",55,2001
66,Ocean Heights,Dubai, UAE,310 m,"1,017 ft",82,2010
66,Sky Tower,Abu Dhabi, UAE,310 m,"1,017 ft",74,2010
69,Pearl River Tower,Guangzhou, China,310 m,"1,016 ft",71,2012
70,Jumeirah Emirates Towers Hotel,Dubai, UAE,309 m,"1,014 ft",56,2000
71,Eurasia,Moscow, Russia,309 m,"1,013 ft",72,2013
72,Burj Rafal,Riyadh, Saudi Arabia,308 m,"1,010 ft",68,2014
73,Franklin Center,Chicago, USA,307 m,"1,007 ft",60,1989
74,Cayan Tower,Dubai, UAE,306 m,"1,005 ft",76,2013
75,One57,New York City, USA,306 m,"1,004 ft",75,2013
75,East Pacific Center Tower A,Shenzhen, China,306 m,"1,004 ft",85,2012
75,The Shard,London, UK,306 m,"1,004 ft",72,2012
75,The Address Downtown Burj Khalifa,Dubai, UAE,306 m,"1,004 ft",63,2008
79,JPMorgan Chase Tower,Houston, USA,305 m,"1,002 ft",75,1982
79,Etihad Tower 2,Abu Dhabi, UAE,305 m,"1,002 ft",79,2011
81,Northeast Asia Trade Tower,Incheon, South Korea,305 m,"1,001 ft",68,2010
82,Baiyoke Tower II,Bangkok, Thailand,304 m,997 ft,85,1997
83,Two Prudential Plaza,Chicago, USA,303 m,995 ft,64,1990
84,Moi City,Wuxi, China,303 m,994 ft,72,2012
85,Leatop Plaza,Guangzhou, China,303 m,993 ft,65,2011
86,Wells Fargo Plaza,Houston, USA,302 m,992 ft,71,1983
86,Kingdom Centre,Riyadh, Saudi Arabia,302 m,992 ft,41,2002
88,Gate of the Orient,Suzhou, China,302 m,990 ft,68,2012
89,Moscow Tower,Moscow, Russia,302 m,989 ft,76,2010
90,We've the Zenith Tower A,Busan, South Korea,301 m,987 ft,80,2011
91,Aspire Tower,Doha, Qatar,300 m,984 ft,36,2007
91,Arraya 2,Kuwait City, Kuwait,300 m,984 ft,60,2009
91,Gran Torre Santiago,Santiago, Chile,300 m,984 ft,64,2012
94,One Island East,Hong Kong, Hong Kong,298 m,979 ft,67,2008
95,Shanghai Wheelock Square,Shanghai, China,298 m,978 ft,58,2009
95,First Canadian Place,Toronto, Canada,298 m,978 ft,72,1976
97,4 World Trade Center,New York, USA,298 m,977 ft,72,2012
98,Eureka Tower,Melbourne, Australia,297 m,975 ft,91,2006
98,Comcast Center,Philadelphia, USA,297 m,975 ft,57,2008
100,Yokohama Landmark Tower,Yokohama, Japan,296 m,972 ft,73,1993
101,Emirates Crown,Dubai, UAE,296 m,971 ft,63,2008
102,Islamic Bank Office Tower,Dubai, UAE,294 m,964 ft,49,2011
102,Khalid Al Attar Tower 2,Dubai, UAE,294 m,964 ft,61,2010
104,311 South Wacker Drive,Chicago, USA,293 m,961 ft,65,1990
104,Trump Ocean Club International Hotel and Tower,Panama City, Panama,293 m,961 ft,68,2011
106,Haeundae I Park Marina Tower 2,Busan, South Korea,292 m,959 ft,72,2012
107,American International Building,New York City, USA,290 m,952 ft,66,1932
108=,Busan International Finance Center,Busan, South Korea,289 m,948 ft,63,2014
108=,Dongguan TBA Tower,Dongguan, China,289 m,948 ft,68,2010
109,Key Tower,Cleveland, USA,289 m,947 ft,57,1991
110,One Liberty Place,Philadelphia, USA,288 m,945 ft,61,1987
110,Plaza 66 Tower One,Shanghai, China,288 m,945 ft,66,2001
112,Chongqing Poly Tower,Chongqing, China,287 m,941 ft,58,2010
113,SPG Global Tower 1,Suzhou, China,286 m,938 ft,54,2010
113,SPG Global Tower 2,Suzhou, China,286 m,938 ft,54,2010
115,Columbia Center,Seattle, USA,285 m,937 ft,76,1985
116,Yingli Tower,Chongqing, China,285 m,936 ft,65,2012
117,Millennium Tower,Dubai, UAE,285 m,935 ft,60,2006
117,Sulafa Tower,Dubai, UAE,285 m,935 ft,75,2010
119,Tomorrow Square,Shanghai, China,285 m,934 ft,55,2003
120,D1,Dubai, UAE,284 m,932 ft,80,2012
121,Chongqing World Trade Center,Chongqing, China,283 m,929 ft,60,2005
122,Cheung Kong Centre,Hong Kong, Hong Kong,283 m,928 ft,62,1999
123,The Trump Building,New York City, USA,283 m,927 ft,70,1930
124,We've the Zenith Tower B,Busan, South Korea,282 m,924 ft,75,2011
125,Vitri Tower,Panama City, Panama,281 m,922 ft,75,2012
126,Bank of America Plaza,Dallas, USA,281 m,921 ft,72,1985
127,OUB Centre,Singapore, Singapore,280 m,919 ft,66,1986
127,UOB Plaza One,Singapore, Singapore,280 m,919 ft,66,1992
127,Republic Plaza,Singapore, Singapore,280 m,919 ft,66,1996
127,Marina Pinnacle,Dubai, UAE,280 m,919 ft,73,2010
131,Seoul International Financial Center,Seoul, South Korea,279 m,916 ft,55,2012
132,Citigroup Center,New York City, USA,279 m,915 ft,59,1977
132,Greenland Plaza,Zhengzhou, China,279 m,915 ft,56,2012
134,Hong Kong New World Tower,Shanghai, China,278 m,913 ft,61,2002
135,Trust Tower,Abu Dhabi, UAE,278 m,912 ft,60,2010
135,Etihad Tower 1,Abu Dhabi, UAE,278 m,911 ft,70,2011
137,Trump International Hotel and Tower,Toronto, Canada,277 m,908 ft,57,2012
138,Diwang International Commerce Center,Nanning, China,276 m,906 ft,54,2006
139,Scotia Plaza,Toronto, Canada,275 m,902 ft,68,1988
140,Williams Tower,Houston, USA,275 m,901 ft,64,1983
141,Nantong Zhongnan International Plaza,Nantong, China,273 m,897 ft,53,2011
142,Wuhan World Trade Tower,Wuhan, China,273 m,896 ft,58,1998
142,Lvjing Tower,Shenzhen, China,273 m,896 ft,56,2011
142,Shimao International Center,Fuzhou, China,273 m,896 ft,56,2012
145,Haeundae I Park Marina Tower 1,Busan, South Korea,273 m,895 ft,66,2011
146,United International,Chongqing, China,271 m,889 ft,68,2012
147,Renaissance Tower,Dallas, USA,270 m,886 ft,56,1974
147,The Cullinan South Tower,Hong Kong, Hong Kong,270 m,886 ft,68,2008
147,The Cullinan North Tower,Hong Kong, Hong Kong,270 m,886 ft,68,2008
147,China International Center Tower B,Guangzhou, China,270 m,886 ft,62,2007
151,Dapeng International Plaza,Guangzhou, China,269 m,884 ft,56,2006
152,One Lujiazui,Shanghai, China,269 m,883 ft,47,2008
152,JAL Hotel,Dubai, UAE,269 m,883 ft,60,2008
152,21st Century Tower,Dubai, UAE,269 m,883 ft,55,2003
155,Bitexco Financial Tower,Ho Chi Minh City, Vietnam,269 m,882 ft,68,2010
156,Naberezhnaya Tower C,Moscow, Russia,268 m,881 ft,61,2007
157,Bank of Guangzhou Tower,Guangzhou, China,268 m,878 ft,57,2012
158,Al Faisaliyah Center,Riyadh, Saudi Arabia,267 m,876 ft,44,2000
158,8 Spruce Street,New York City, USA,267 m,876 ft,76,2010
158,Star Bay Tower,Panama City, Panama,267 m,876 ft,65,2012
161,Fortune Center Phase 3,Beijing, China,266 m,874 ft,56,2012
162,The Point,Panama City, Panama,266 m,873 ft,65,2011
163,The River,Bangkok, Thailand,265 m,871 ft,73,2012
163,Bank of America Corporate Center,Charlotte, USA,265 m,871 ft,60,1992
165,900 North Michigan,Chicago, USA,265 m,869 ft,66,1989
165,Al Kazim Tower 1,Dubai, UAE,265 m,869 ft,53,2008
165,Al Kazim Tower 2,Dubai, UAE,265 m,869 ft,53,2008
165,Bocom Financial Towers,Shanghai, China,265 m,869 ft,52,2002
165,120 Collins Street,Melbourne, Australia,265 m,869 ft,52,1991
165,We've the Zenith Tower C,Busan, South Korea,265 m,869 ft,70,2011
165,WBC The Palace Towers Tower 1,Busan, South Korea,265 m,869 ft,71,2010
165,WBC The Palace Towers Tower 2,Busan, South Korea,265 m,869 ft,71,2010
173,SunTrust Plaza,Atlanta, USA,264 m,867 ft,60,1992
174,Triumph-Palace,Moscow, Russia,264 m,866 ft,54,2005
174,Arts Tower,Panama City, Panama,264 m,866 ft,80,2012
176,"Samsung Tower Palace 3, Tower G",Seoul, South Korea,264 m,865 ft,73,2004
177,Trump World Tower,New York City, USA,262 m,859 ft,72,2001
177,Water Tower Place,Chicago, USA,262 m,859 ft,74,1976
177,Grand Gateway Shanghai I,Shanghai, China,262 m,859 ft,52,2005
177,Grand Gateway Shanghai II,Shanghai, China,262 m,859 ft,52,2005
177,Aqua,Chicago, USA,262 m,859 ft,86,2009
182,Aon Center,Los Angeles, USA,262 m,858 ft,62,1973
183,East Pacific Center Tower B,Shenzhen, China,261 m,856 ft,72,2012
183,Sapphire of Istanbul,Istanbul, Turkey,261 m,856 ft,54,2010
183,Grand Lisboa,Macau, China,261 m,856 ft,47,2008
183,TD Canada Trust Tower,Toronto, Canada,261 m,856 ft,53,1990
183,The Masterpiece,Hong Kong, Hong Kong,261 m,856 ft,64,2007
183,Islamic Bank Residential Tower,Dubai, UAE,261 m,856 ft,51,2011
189,Etihad Tower 3,Abu Dhabi, UAE,260 m,854 ft,62,2011
190,Vision Tower,Dubai, UAE,260 m,853 ft,60,2010
190,Shanghai IFC North Tower,Shanghai, China,260 m,853 ft,60,2011
190,Jing'an Kerry Center Phase 2,Shanghai, China,260 m,853 ft,58,2012
190,Sunny World Center,Shenyang, China,260 m,853 ft,59,2012
190,Bahrain Financial Harbour 1,Manama, Bahrain,260 m,853 ft,53,2007
190,Bahrain Financial Harbour 2,Manama, Bahrain,260 m,853 ft,53,2007
190,101 Collins Street,Melbourne, Australia,260 m,853 ft,50,1991
190,Abraj Al Bait Hajar Tower,Mecca, Saudi Arabia,260 m,853 ft,48,2012
190,Abraj Al Bait ZamZam Tower,Mecca, Saudi Arabia,260 m,853 ft,48,2012
190,Shenzhen Special Zone Press Tower,Shenzhen, China,260 m,853 ft,48,1998
190,Transamerica Pyramid,San Francisco, USA,260 m,853 ft,48,1972
201,Chase Tower,Chicago, USA,259 m,850 ft,60,1969
201,GE Building,New York City, USA,259 m,850 ft,69,1933
201,Commerzbank Tower,Frankfurt, Germany,259 m,850 ft,56,1997
201,PBCOM Tower,Makati, Philippines,259 m,850 ft,55,2000
205,Two Liberty Place,Philadelphia, USA,258 m,848 ft,58,1990
206,Huamin Imperial Tower,Shanghai, China,258 m,847 ft,63,2011
207,Lanko·Grand Hyatt Hotel,Chongqing, China,258 m,846 ft,60,2004
207,Tianjin Hutchinson Whampoa Metro Plaza,Tianjin, China,258 m,846 ft,53,2012
209,Park Tower,Chicago, USA,257 m,844 ft,67,2000
209,Devon Tower,Oklahoma City, USA,257 m,844 ft,50,2012
209,Ciputra World Hotel Tower,Jakarta, Indonesia,257 m,844 ft,49,2013
212,St. Petersburg Tower,Moscow, Russia,257 m,843 ft,65,2010
213,Messeturm,Frankfurt, Germany,257 m,842 ft,55,1990
214,U.S. Steel Tower,Pittsburgh, USA,256 m,841 ft,64,1970
214,Sorrento 1,Hong Kong, Hong Kong,256 m,841 ft,75,2003
216,The Harbour Hotel & Residence,Dubai, UAE,256 m,840 ft,59,2007
216,Ubora Tower 1,Dubai, UAE,256 m,840 ft,59,2007
216,Hyperion Tower A,Seoul, South Korea,256 m,840 ft,69,2003
216,Rinku Gate Tower Building,Izumisano, Japan,256 m,840 ft,56,1996
220,New Century Plaza Tower A,Nanjing, China,255 m,837 ft,52,2006
220,Langham Place Office Tower,Hong Kong, Hong Kong,255 m,837 ft,59,2004
220,Tower Financial Center,Panama City, Panama,255 m,837 ft,53,2011
220,Conrad Hotel,Dubai, UAE,255 m,837 ft,51,2012
224,The Imperial I,Mumbai, India,254 m,833 ft,60,2009
224,The Imperial II,Mumbai, India,254 m,833 ft,60,2009
226,Capital Tower,Singapore, Singapore,253 m,830 ft,52,2000
226,Chase Tower,Indianapolis, USA,253 m,830 ft,48,1990
228,Highcliff,Hong Kong, Hong Kong,252 m,828 ft,72,2003
229,Bank of Shanghai Headquarters,Shanghai, China,252 m,827 ft,46,2005
229,Osaka World Trade Center Building,Osaka, Japan,252 m,827 ft,55,1995
231,The Harbourside,Hong Kong, Hong Kong,251 m,824 ft,73,2003
231,Rialto Towers,Melbourne, Australia,251 m,824 ft,63,1986
233,Jiali Plaza,Wuhan, China,251 m,823 ft,61,1997
234,The Gramercy Residences,Makati, Philippines,250 m,820 ft,73,2012
234,Discovery Primea,Makati, Philippines,250 m,820 ft,68,2013
234,The Gate Tower 1,Abu Dhabi, UAE,250 m,820 ft,65,2012
234,The Gate Tower 2,Abu Dhabi, UAE,250 m,820 ft,65,2012
234,The Gate Tower 3,Abu Dhabi, UAE,250 m,820 ft,65,2012
234,Angsana Hotel Tower 1,Dubai, UAE,250 m,820 ft,49,2008
234,Angsana Hotel Tower 2,Dubai, UAE,250 m,820 ft,49,2008
234,Beijing Yintai Centre Tower 2,Beijing, China,250 m,820 ft,63,2007
234,Chelsea Tower,Dubai, UAE,250 m,820 ft,49,2005
234,One Atlantic Center,Atlanta, USA,250 m,820 ft,50,1987
234,Caja Madrid Tower,Madrid, Spain,250 m,820 ft,45,2008
234,Wisma 46,Jakarta, Indonesia,250 m,820 ft,48,1996
234,Post & Telecommunication Hub,Guangzhou, China,250 m,820 ft,66,2003
234,Ahmed Khoory Tower,Dubai, UAE,250 m,820 ft,60,2012
248,The Legacy at Millennium Park,Chicago, USA,250 m,819 ft,73,2010
248,International Hainan Airlines Plaza,Haikou, China,250 m,819 ft,54,2012
250,Infinity,Brisbane, Australia,249 m,817 ft,81,2013
250,Cathay Pacific Plaza 1,Ordos, China,249 m,817 ft,55,2012
250,Cathay Pacific Plaza 2,Ordos, China,249 m,817 ft,55,2012
250,Al Tayer Tower,Dubai, UAE,249 m,817 ft,49,2009
250,63 Building,Seoul, South Korea,249 m,817 ft,60,1985
250,Metapolis 101,Hwaseong City, South Korea,249 m,817 ft,66,2010
250,Central Park,Perth, Australia,249 m,817 ft,52,1992
250,Torre de Cristal,Madrid, Spain,249 m,817 ft,45,2008
258,Midtown Tower,Tokyo, Japan,248 m,814 ft,54,2007
258,CitySpire Center,New York City, USA,248 m,814 ft,75,1987
260,One Chase Manhattan Plaza,New York City, USA,248 m,813 ft,60,1960
261,Midland Square,Nagoya, Japan,247 m,810 ft,47,2007
261,Metapolis 104,Hwaseong City, South Korea,247 m,810 ft,66,2010
261,State Tower,Bangkok, Thailand,247 m,810 ft,68,2001
264,Conde Nast Building,New York City, USA,247 m,809 ft,48,1999
265,Kai Yuen World Center,Shijiazhuang, China,246 m,808 ft,53,2012
265,MetLife Building,New York City, USA,246 m,808 ft,59,1963
267,Stock Exchange Plaza,Shenzhen, China,246 m,807 ft,51,2012
268,Bloomberg Tower,New York City, USA,246 m,806 ft,54,2005
268,Qingdao International Trade Center 1,Qingdao, China,246 m,806 ft,50,2012
268,Qingdao International Trade Center 2,Qingdao, China,246 m,806 ft,50,2012
271,Federation of Korean Industries Head Office,Seoul, South Korea,245 m,805 ft,50,2013
272,AVIC Plaza,Shenzhen, China,245 m,804 ft,52,2012
272,JR Central Towers,Nagoya, Japan,245 m,804 ft,51,2007
272,Oasis Beach Tower,Dubai, UAE,245 m,804 ft,51,2006
272,Al Fattan Tower,Dubai, UAE,245 m,804 ft,51,2006
272,Churchill Residency,Dubai, UAE,245 m,804 ft,59,2010
272,One Raffles Quay,Singapore, Singapore,245 m,804 ft,59,2006
